Food,Measure,Grams,Calories,Protein,Fat,SatFat,Fiber,Carbs,Category,Id,Price,Img_url
kilicbaligi,1 biftek,100,180,27,6,0,0,0,Balik,28,349.00,https://static.ticimax.cloud/8019/uploads/urunresimleri/buyuk/sword-fish---kilic-baligi-biblo-balik-11d5.jpg
ton baligi,3 oz.,85,170,25,7,3,0,0,Balik,29,161.00,https://productimages.hepsiburada.net/s/51/375/11072976158770.jpg
pancar,1 su bardagi,165,1,12,0,0,0,0.8,Sebze A-E,30,45.00,https://reimg-carrefour.mncdn.com/mnresize/600/600/productimage/30007252/30007252_0_MC/8803762634802_1528879429017.jpg
brokoli,1 kase,150,45,5,0,0,1.9,8,Sebze A-E,31,21.00,https://reimg-carrefour.mncdn.com/mnresize/600/600/productimage/30088094/30088094_0_MC/8796872048690_1528879600523.jpg
bruksel lahanasi,1 su bardagi,130,60,6,0,0,1.7,12,Sebzeler A-E,32,50.00,https://images.migrosone.com/sanalmarket/product/28220000/lahana-bruksel-kg-0e8afe-1650x1650.jpg
lahana tursusu,1 su bardagi,150,32,1,0,0,1.2,7,Sebze A-E,33,105.00,https://productimages.hepsiburada.net/s/40/1500/10672967614514.jpg
haslanmis lahana,1 su bardagi,170,40,2,0,0,1.3,9,Sebze A-E,34,15.00,https://lahana.gen.tr/images/haslanmis-lahana-salatasi-5054.jpg
karnabahar,1 su bardagi,120,30,3,0,0,1,6,Sebze A-E,35,29.00,https://images.migrosone.com/sanalmarket/product/28170000/karnabahar-kg-def0a7-1650x1650.jpg
karalahana,1 su bardagi,150,51,5,0,0,2,8,Sebze A-E,36,17.00,https://cdn.cimri.io/market/260x260/kara-lahana-adet-_206155.jpg
misir,1 basak,100,92,3,1,0,0.8,21,Sebzeler A-E,37,35.00,https://cdn.cimri.io/market/260x260/yoremce-500-gr-cin-misir-_250370.jpg
hindiba,2 oz.,57,10,1,0,0,0.6,2,Sebze A-E,38,21.00,https://www.verita.com.tr/wp-content/uploads/2014/08/hinibag.jpg
lahana,1 su bardagi,110,45,4,1,0,0.9,8,Sebzeler F-P,39,7.00,https://images.migrosone.com/sanalmarket/product/28210000/lahana-beyaz-kg-ort-1750-g-9f6e4c.jpg
mantar konservesi,4,120,12,2,0,0,0,4,Sebzeler F-P,40,75.00,https://productimages.hepsiburada.net/s/41/375/10696057323570.jpg
sogan,1,210,80,2,0,0,1.6,18,Sebzeler F-P,41,18.00,https://www.tarimziraat.com/foto/rich_snippets/kuru_sogan.jpg
yesil sogan,6 kucuk,50,22,0,0,0,1,5,Sebzeler F-P,42,14.00,https://images.migrosone.com/sanalmarket/product/28395002/sogan-taze-demet-1c62ec-1650x1650.jpg
maydanoz,2 T.,50,2,0,0,0,0,0,Sebzeler F-P,43,100.00,https://images.migrosone.com/sanalmarket/product/28260009/maydanoz-adet-659b84-1650x1650.jpg
dondurulmus bezelye,1 su bardagi,100,,5,0,0,1.8,12,Sebzeler R-Z,44,47.00,https://cdn.cimri.io/market/260x260/superfresh-450-gr-bezelye-_281161.jpg
pismis bezelye,4 su bardagi,100,115,8,0,0,0.4,21,Sebzeler R-Z,45,47.00,https://cdn.cimri.io/market/260x260/superfresh-450-gr-bezelye-_281161.jpg
biber konservesi,1 bakla,38,10,0,0,0,0,2,Sebze R-Z,46,60.00,https://images.migrosone.com/sanalmarket/product/09033750/penguen-kozlenmis-kapya-biber-680-gr-f70162-1650x1650.jpg
yesil biber,1 buyuk,100,25,1,0,0,1.4,6,Sebzeler R-Z,47,13.00,https://images.migrosone.com/sanalmarket/product/28054000/biber-sivri-kg-2ab518-1650x1650.jpg
tatli patates,1 med.,110,155,2,1,0,1,36,Sebzeler R-Z,48,20.00,https://reimg-carrefour.mncdn.com/mnresize/600/600/productimage/30085258/30085258_0_MC/8806419234866_1517467622833.jpg
domates suyu,1 su bardagi,240,50,2,0,0,0.6,10,Sebze R-Z,49,28.00,https://productimages.hepsiburada.net/s/23/375/10057713745970.jpg
elma sirkesi,1/3 su bardagi,100,14,0,0,0,0,3,Meyveler A-F,50,22.00,https://cdn.dsmcdn.com/ty6/product/media/images/20200717/15/4828891/15730547/1/1_org_zoom.jpg
kayisi,1 su bardagi,250,220,2,0,0,1,57,Meyveler A-F,51,80.00,https://images.migrosone.com/sanalmarket/product/27210000/kayisi-kg-d2e1e6.jpg
kurutulmus kayisi,1/2 su bardagi,75,220,4,0,0,1,50,Meyveler A-F,52,200.00,https://productimages.hepsiburada.net/s/8/1500/9776121905202.jpg
nektari,1 su bardagi,250,140,1,0,0,2,36,Meyveler A-F,53,25.00,https://cdn.cimri.io/market/260x260/nektarin-_224462.jpg
avokado,1/2 buyuk,108,185,2,18,12,1.8,6,Meyveler A-F,54,175.00,https://images.migrosone.com/hemen/product/28010004/28010004-10a053-1650x1650.jpg
bogurtlen,1 su bardagi,144,85,2,1,0,6.6,19,Meyveler A-F,55,40.00,https://cdn.cimri.io/market/260x260/bogurtlen-_224644.jpg
yaban mersini,1 su bardagi,250,245,1,0,0,2,65,Meyveler A-F,56,125.00,https://cdn.cimri.io/market/260x260/yaban-mersini-_218672.jpg
kavun,1/2 med.,380,40,1,0,0,2.2,9,Meyveler A-F,57,49.00,https://static.ticimax.cloud/30771/uploads/urunresimleri/buyuk/kavun-kg-6fdd.jpg
kirazlar,1 su bardagi,257,100,2,1,0,2,26,Meyveler A-F,58,160.00,https://cdn.cimri.io/market/260x260/kiraz-_223853.jpg
hurma,1 su bardagi,178,505,4,0,0,3.6,134,Meyveler A-F,59,160.00,https://productimages.hepsiburada.net/s/1/375/9537275691058.jpg
incir pekmezli konserve,3,115,130,1,0,0,1,32,Meyveler A-F,60,100.00,https://cdn.cimri.io/market/260x260/senay-800-gr-incir-pekmezi-_273729.jpg
greyfurt dilimleri,1 su bardagi,250,170,1,0,0,0.5,44,Meyveler G-P,61,55.00,https://productimages.hepsiburada.net/s/20/375/9883559067698.jpg
uzum,1 su bardagi,153,70,1,0,0,0.8,16,Meyveler,62,50.00,https://cdn.cimri.io/market/260x260/cekirdeksiz-uzum-_223799.jpg
limon suyu,1/2 su bardagi,125,30,0,0,0,0,10,Meyveler G-P,63,10.00,https://cdn.cimri.io/market/260x260/taris-1-lt-limon-suyu-_190342.jpg
zeytin,10,65,72,1,10,9,0.8,3,Meyveler G-P,64,46.00,https://productimages.hepsiburada.net/s/36/1500/10506536943666.jpg
portakal 3 cap,1 orta,180,60,2,0,0,1,16,Meyveler G-P,65,11.00,https://productimages.hepsiburada.net/s/20/375/9883560050738.jpg
ananas,1 buyuk dilim,122,95,0,0,0,0.4,26,Meyveler G-P,66,100.00,https://productimages.hepsiburada.net/s/21/375/9938531450930.jpg
ahududu,1/2 su bardagi,100,100,0,0,0,2,25,Meyveler R-Z,67,30.00,https://productimages.hepsiburada.net/s/24/375/10067279544370.jpg
cilek,1 su bardagi,227,242,1,0,0,1.3,60,Meyveler R-Z,68,25.00,https://images.migrosone.com/sanalmarket/product/27081000/27081000-7e292e-1650x1650.jpg
biskuviler,1,38,130,3,4,3,0,18,Ekmekler,69,15.00,https://cdn.akakce.com/ulker/ulker-61-gr-8-li-kremali-sandvic-z.jpg
kepek gevregi,1 su bardagi,25,117,3,0,0,0.1,32,Ekmekler,70,30.00,https://productimages.hepsiburada.net/s/22/500/9943343923250.jpg
ekmek,1 dilim,23,60,2,1,1,0.1,12,Ekmekler,71,5.00,https://images.migrosone.com/sanalmarket/product/05120000/05120000-a957e2-1650x1650.jpg
cavdar ekmegi,1 dilim,23,55,2,1,1,0.1,12,Ekmekler,72,14.00,https://images.migrosone.com/sanalmarket/product/05052642/ihe-cavdar-ekmegi-400-gr-e9bfe7-1650x1650.jpg
beyaz ekmek,20 dilim veya 1 lb. somun,454,1,225,39,15,12,9,229,73,12.00,https://www.karekod.org/blog/wp-content/uploads/2022/12/odun-ekmegi-1024x683.jpg
tam bugday ekmegi,1 dilim,23,55,2,1,0,0.31,11,Ekmekler,74,32.00,https://reimg-carrefour.mncdn.com/mnresize/600/600/productimage/30053367/30053367_0_MC/8796628877362_1577775416163.jpg
misir ekmegi,1 porsiyon,50,100,3,4,2,0.3,15,Ekmekler,75,24.00,https://productimages.hepsiburada.net/s/80/375/110000021730917.jpg
misir gevregi,1 su bardagi,25,110,2,0,0,0.1,25,Ekmekler,76,51.00,https://productimages.hepsiburada.net/s/31/1500/10333268246578.jpg
pismis misir ezmesi,1 su bardagi,242,120,8,0,0,0,2,27,77,20.00,https://productimages.hepsiburada.net/s/316/375/110000309678966.jpg
misir unu,1 su bardagi,118,360,9,4,2,1.6,74,Ekmekler,78,25.00,https://productimages.hepsiburada.net/s/6/1500/9707868880946.jpg
kraker,2 med.,14,55,1,1,0,0,10,Ekmekler,79,40.00,https://images.migrosone.com/sanalmarket/product/07010210/07010210-fc9e90-1650x1650.jpg
soda,2 1/2 kare,2,11,45,1,1,0,0,8,80,4.00,https://productimages.hepsiburada.net/s/32/375/10364946645042.jpg
un,1 su bardagi,110,460,39,22,0,2,9,33,81,10.00,https://productimages.hepsiburada.net/s/57/500/11280332750898.jpg
bugday (tam),1 su bardagi,120,390,13,2,0,2,8,79,82,16.00,https://productimages.hepsiburada.net/s/52/500/11122716672050.jpg
yulaf ezmesi,1 su bardagi,236,150,5,3,2,4.6,26,Ekmekler,83,37.00,https://productimages.hepsiburada.net/s/68/375/110000009569854.jpg
pirinc gevregi,1 su bardagi,30,115,2,0,0,0.1,26,Ekmekler,84,45.00,https://productimages.hepsiburada.net/s/38/375/10590086922290.jpg
rafine un,1,38,115,3,2,2,0,20,Ekmekler,85,20.00,https://imgs.alem.com.tr/Documents/Alem_Dergi/images/2015/11/12/f6b2e009-b3a9-41d5-bd3d-7a6f4101394f.jpg
bugday,3/4 su bardagi,200,275,12,1,0,4.4,35,Ekmekler,86,26.00,https://i2.gazetevatan.com/i/gazetevatan/75/1200x675/61e7d01ced13441560df2f2d.jpg
bulyon,1 su bardagi,240,24,5,0,0,0,0,Corbalar,87,34.00,https://productimages.hepsiburada.net/s/5/500/9674967842866.jpg
pandispanya,1 dilim,40,115,3,2,2,0,22,Tatli,88,34.00,https://productimages.hepsiburada.net/s/31/375/10348737265714.jpg
cikolata kremalari,2,30,130,0,4,4,0,24,Tatlilar,89,52.00,https://productimages.hepsiburada.net/s/49/375/10983952678962.jpg
sutlu cikolata,2 oz. bar,56,290,2,6,6,0.2,44,Tatlilar,90,15.00,https://cdn.akakce.com/ulker/ulker-60-gr-sutlu-kare-z.jpg
cikolata surubu,2 T.,40,80,0,0,0,0,22,Tatlilar,91,234.00,https://cdn.dsmcdn.com/ty98/product/media/images/20210404/02/9ce11e0c/22237326/1/1_org_zoom.jpg
corek,1,33,135,2,7,4,0,17,Tatlilar,92,108.00,https://cdn.akakce.com/bagdat/bagdat-baharat-1000-gr_1-z.jpg
buz,1 bardak,150,117,0,0,0,0,48,Tatlilar,93,5.00,https://d.neoldu.com/news/21381.jpg
pekmez,1 T.,20,45,0,0,0,8,11,Recel,94,84.00,https://cdn.dsmcdn.com/ty1/product/media/images/20200416/12/1940796/68817627/1/1_org_zoom.jpg
toz seker,1 T.,12,50,0,0,0,0,12,Tatlilar,95,30.00,https://cdn.akakce.com/z/turk-seker/turk-5-kg-toz.jpg
kavrulmus badem,1/2 su bardagi,70,439,13,40,31,1.8,13,Tohumlar ve Kuruyemisler,96,179.00,https://cdn.cimri.io/market/260x260/1-kg-kavrulmus-badem-_1445340.jpg
kaju fistigi,1/2 su bardagi,70,392,12,32,28,0.9,20,Tohumlar ve Kuruyemisler,97,191.00,https://productimages.hepsiburada.net/s/4/375/9664059080754.jpg
hindistan cevizi,1/2 su bardagi,50,274,1,20,19,2,26,Tohumlar ve Kuruyemisler,98,64.00,https://productimages.hepsiburada.net/s/22/375/9945833537586.jpg
fistik ezmesi,1/3 su bardagi,50,300,12,25,17,0.9,9,Tohumlar ve Kuruyemisler,99,68.00,https://cdn.dsmcdn.com/ty324/product/media/images/20220206/6/45524995/59474802/1/1_org_zoom.jpg
yer fistigi,1/3 su bardagi,50,290,13,25,16,1.2,9,Tohumlar ve Kuruyemisler,100,27.00,https://st3.myideasoft.com/idea/au/35/myassets/products/928/dts2033-copy.jpg?revision=1586205861
susam tohumlari,1/2 su bardagi,50,280,9,24,13,3.1,10,Tohumlar ve Kuruyemisler,101,111.00,https://st.myideasoft.com/idea/er/22/myassets/products/648/dogal-susam-tohumu-1-kg.jpg?revision=1599464757
aycekirdegi,1/2 su bardagi,50,280,12,26,7,1.9,10,Tohumlar ve Kuruyemisler,102,20.00,https://d23ic3f0nw4szy.cloudfront.net/marketpaketi/products/552657/nevden-kavrulmus-yerli-siyah-cekirdek-1-kg-599d43aa7773c7e96bdc3ade3e5dcb11.jpg
bakla,0,0,100,5.2,0.4,0,0,9.8,x,103,90.00,https://productimages.hepsiburada.net/s/67/375/110000009199793.jpg
bezelye,0,0,"	100","	06.3","	0.4",0,0,14.4,x,104,84.00,https://www.tohumgelsin.com/depo/bezelye-tohumu3-600x600.jpg
asma yapragi,0,0,"	100","	03.8","	01.1",0,0,15.6,x,105,50.00,https://i0.shbdn.com/photos/66/34/59/x5_1072663459b0f.jpg
domates,0,0,"	100","	01.1","	0.2",0,0,4.8,x,106,27.00,https://productimages.hepsiburada.net/s/19/375/9840429072434.jpg
salatalik,0,0,"	100","	0.6	",0.1,0,0,3.2,x,107,9.00,https://ayb.akinoncdn.com/products/2021/09/01/7095/7a472d55-53f1-40b0-8a80-d1b28985eeea_size780x780_quality60_cropCenter.jpg
ebegumeci,0,0,"	100","	04.4","	0.6",0,0,4.3,x,108,182.00,https://cdn.cimri.io/market/260x260/aktarzane-1-kg-ebegumeci-_255121.jpg
enginar,0,0,"	100","	3.0	","0.2	",0,0,7.8,x,109,270.00,https://www.unileverfoodsolutions.com.tr/konsept-uygulamalarimiz/puf-noktalari/enginar-nasil-temizlenir/jcr:content/parsys/content/image_713528347.img.jpg/1618942565795.jpg
fasulye,0,0,"	100","	01.8	",0.2,0,0,7,x,110,49.00,https://i.nefisyemektarifleri.com/2022/02/26/kuru-fasulye-seker-fasulye.jpg
havuc,0,0,"	100","	01.1","	0.2",0,0,10,x,111,10.00,https://www.eskitadinda.com/img/havuc_1966_7245_2.png
kabak,0,0,"	100	",1,0.1,0,0,6.6,x,112,17.00,https://i.lezzet.com.tr/images-xxlarge-secondary/kabak-soyulmali-mi-f652938a-197d-429b-b852-eea069a24964.jpg
karnibahar,0,0,"	100","02.7	",0.2,0,0,5.2,x,113,30.00,https://i2.milimaj.com/i/milliyet/75/1200x675/5ea1aff45542801ed428c8da.jpg
kereviz,0,0,"	100","01.8	",0.3,0,0,8.5,x,114,33.00,https://cdn.memorial.com.tr/files/Uploads/1/15/kerevizinfaydalarinelerdirjpg_2fd4.jpg
kivircik salata,0,0,"	100","	01.7","	0.1",0,0,4.1,x,115,630.00,https://images.migrosone.com/tazedirekt/product/28360003/28360003-102b17-680x454.jpg
beyaz lahana,0,0,"	100","	01.3","	0.2",0,0,5.4,x,116,250.00,https://images.migrosone.com/tazedirekt/product/28210026/28210026-ef80ff-680x454.jpg
ispanak,0,0,"	100","	03.2	",0.3,0,0,4.3,x,117,17.00,https://mutlusebzeler.com/wp-content/uploads/2018/08/ispanak.jpg
marul,0,0,"	100","	01.2","	0.2",0,0,2.5,x,118,45.00,https://upload.wikimedia.org/wikipedia/commons/a/a5/Iceberg_lettuce_%28IJssla_krop%29.jpg
mantar,0,0,"	100","	02.7","	0.3",0,0,4.4,x,119,420.00,https://www.unileverfoodsolutions.com.tr/konsept-uygulamalarimiz/karsi-konulamaz-malzemeler/mantar-cesitleri-yenilebilir-mantar-turleri/jcr:content/parsys/content/image_731919066_copy.img.jpg/1631990802279.jpg
maydonoz,0,0,"	100","	03.6	",0.6,0,0,8.5,x,120,134.00,https://www.diyetkolik.com/site_media/media/customvideo_images/Adsz_tasarm.jpg
nane,0,0,"	100","	5.0","	01.3",0,0,7.9,x,121,149.00,https://st3.myideasoft.com/shop/ir/87/myassets/products/879/nane-fidesi-citaro-1.jpg?revision=1637925096
patlican,0,0,"	100","	01.2","	0.2",0,0,5.6,x,122,28.00,https://st2.myideasoft.com/idea/dh/08/myassets/blogs/patlican-nasil-yetisir.jpg?revision=1518603000
patates,0,0,"	100","	02.1","	0.1",0,0,17,x,123,70.00,https://images.migrosone.com/sanalmarket/product/28290036/28290036-6a65f9-1650x1650.jpg
kuru sogan,0,0,"	100","	1.5",0.1,0,0,8.7,x,124,4.00,https://www.onurmarket.com/Uploads/UrunResimleri/buyuk/1008964-f7e0a6.jpg
pirasa,0,0,"	100","	02.2","	0.3",0,0,11.2,x,125,23.00,https://productimages.hepsiburada.net/s/19/375/9840427434034.jpg
sarmisak,0,0,"	100","	06.2","	0.2",0,0,30,x,126,30.00,https://witcdn.marasmarket.com/sarimsak-1-kg-kurutulmus-gidalar-maras-market-5437-16-B.jpg
semizotu,0,0,"	100","	2.0","	0.5",0,0,3.9,x,127,5.00,https://mutlusebzeler.com/wp-content/uploads/2017/02/semiz-otu.jpg
yer elmasi,0,0,"	100","	02.3","	0.1",0,0,16.7,x,128,40.00,https://cdn.cimri.io/market/260x260/yer-elmasi-_129720.jpg
turp,0,0,"	100","	0.9","	0.1",,,4.2,x,129,14.00,https://images.migrosone.com/tazedirekt/product/28470000/28470000-d38d20.jpg
kuru fasulye,0,0,"	100","	22.3","	01.6",0,0,61.3,x,130,67.00,https://www.tazemasa.com/Uploads/UrunResimleri/buyuk/organik-kuru-fasulye-1-kg-s.s-tire-org-917-4a.jpg
nohut,0,0,"	100	",20.5,"	04.8",0,0,61,x,131,54.00,https://productimages.hepsiburada.net/s/31/500/10334705090610.jpg
mercimek,0,0,"	100	",24.7,"	01.1",0,0,60.1,x,132,23.00,https://images.migrosone.com/macrocenter/product/01061910/01061910-11f5b6.jpg
soya fasulyesi,0,0,"	100","	34.0","	17.8",0,0,33.5,x,133,59.00,https://n11scdn.akamaized.net/a1/450/ev-yasam/fasulye/soya-fasulyesi-1-kg__0876074674570205.jpg
bakla (ici),0,0,"	100","	25.1","	01.7",0,0,58.2,0,134,90.00,https://www.makbul.com/Content/global/images/products/1/109/ORG-bakla-ici-kg543.jpg
barbunya,0,0,"	100	",23,"	01.2",0,0,63.7,x,135,90.00,https://productimages.hepsiburada.net/s/60/375/110000001783193.jpg
alabalik,100 gr,100,168,18.3,10,,,0,X,136,60.00,https://cdn.cimri.io/market/260x260/1-kg-alabalik-_97266.jpg
kalkan,100 gr,100,193,14.8,14.4,,,0,X,137,750.00,https://www.balikye.com/resimler/products/39720.jpg
levrek,100 gr,100,93,19.2,1.2,,,0,X,138,270.00,https://www.kapidabalik.com/wp-content/uploads/2021/08/DENIZ-LEVREGI-IRI-1KG.-USTU-1-1.jpg
palamut,100 gr,100,168,24,7.3,,,0,X,139,100.00,https://www.balikye.com/resimler/products/53921-palamut-taze-800-1000-gr-adet.jpg
uskumru,100 gr,100,159,21.9,7.3,,,0,X,140,378.00,https://www.balikye.com/resimler/products/39770-uskumru-taze.jpg
tuzlanmis balik,100 gr,100,305,18.5,25.1,,,0,X,141,60.00,https://static.ticimax.cloud/50012/uploads/urunresimleri/buyuk/van-tuzlu-balik-1-kg-883d-4.jpg
beyin,100 gr,100,125,10.4,8.6,,,0.8,X,142,37.00,https://turanet.com.tr/wp-content/uploads/2021/02/dana-beyin.jpg
kuzu bobrek,100 gr,100,105,16.8,3.3,,,0.9,X,143,290.00,https://cdn.cimri.io/market/260x260/kirmizi-et-1-kg-kuzu-bobrek-_975494.jpg
dalak (dana),100 gr,100,104,18.1,3,,,0,X,144,23.00,https://www.enflasyon.co/productimage/5fa0b2ea1d0d2.jpg
dil,100 gr,100,130,18.5,5.3,,,0.9,X,145,500.00,https://www.enflasyon.co/productimage/5fa0b2ea1d0d2.jpg
karaciger,100 gr,100,140,19.2,4.7,,,4.1,X,146,239.00,https://reimg-carrefour.mncdn.com/mnresize/600/600/productimage/30054558/30054558_0_MC/8796639428658_1540303298802.jpg
yurek,100 gr,100,124,15,5.7,,,1.8,X,147,96.00,https://cdn.cimri.io/market/260x260/1-kg-dana-yurek-_286470.jpg100
tavuk,100 gr,100,215,18.6,15.1,,,0,X,148,139.00,https://cdn.cimri.io/market/260x260/bolca-1-kg-hindi-kusbasi-gogus-sote-_286936.jpg
hindi,100 gr,100,160,22.4,8,,,0,X,149,400.00,https://www.agsu.net/wp-content/uploads/2016/12/bildircin_eti_8_adet-2.png
bildircin,100 gr,100,192,19.8,12.1,,,0,X,150,118.00,https://platincdn.com/2919/pictures/PUJUTKSRZK10222021154653_683358427_0.jpg
bamya,100 gr,100,36,2.4,0.3,,,7.6,X,151,34.00,https://cdn.dsmcdn.com/ty61/product/media/images/20210127/2/57518658/117777627/1/1_org_zoom.jpg
borulce,100 gr,100,127,9,0.8,,,21.8,X,152,20.00,https://cdn.dsmcdn.com/ty61/product/media/images/20210127/2/57518658/117777627/1/1_org_zoom.jpg
ayva,100 gr,100,57,0.7,0.4,,,15.3,X,153,30.00,https://static.ticimax.cloud/30597/uploads/urunresimleri/buyuk/greenada-meyvearmut-deveci-1-kg-64b5.jpg
armut,100 gr,100,61,0.7,0.4,,,15.3,X,154,105.00,https://adiyamandanal.com/wp-content/uploads/2020/09/dut-kurusu.jpg
dut,100 gr,100,93,0.9,1.1,,,19.8,X,155,18.00,https://productimages.hepsiburada.net/s/21/375/9938532597810.jpg
elma,100 gr,100,58,0.2,0.6,,,15,X,156,50.00,https://img-trendyol.mncdn.com/mnresize/400/-/ty816/product/media/images/20230407/11/319878688/119402917/2/2_org_zoom.jpg
erik,100 gr,100,75,0.8,0.2,,,19.7,X,157,54.00,https://static.ticimax.cloud/30597/uploads/urunresimleri/buyuk/greenada-meyvegreyfurt-1-kg-243a.jpg
greyfurt,100 gr,100,41,0.5,0.1,,,10.6,X,158,157.00,https://st3.myideasoft.com/shop/cr/25/myassets/products/298/kuru-incir.jpg?revision=1564831298
incir,100 gr,100,80,1.2,0.4,,,20.4,X,159,13.00,https://st2.myideasoft.com/idea/ad/25/myassets/products/569/karpuz-kg.jpg?revision=1649340078
karpuz,100 gr,100,26,0.5,0.2,,,6.4,X,160,45.00,https://images.migrosone.com/sanalmarket/product/27240000/27240000-b97f90.jpg
kiraz,100 gr,100,70,1.3,0.3,,,17.4,X,161,13.00,https://iis-akakce.akamaized.net/p.z?%2F%2Fimg%2Eistegelsin%2Ecom%2Flarge%2Flimon1kg%2Ejpg
limon,100 gr,100,27,1.1,0.3,,,8.2,X,162,30.00,https://seferipazar.com/wp-content/uploads/2014/11/p-1072-man3.jpg
mandalina,100 gr,100,46,0.8,0.2,,,11.6,X,163,14.00,https://static.ticimax.cloud/30597/uploads/urunresimleri/buyuk/greenada-meyveyerli-muz-1-kg-04ae.jpeg
